"datetime","ph","orp","tempf","turb","cond","algae","toc","uva254","trypto_interp","label1","label2","set"
2019-04-23 13:00:00,8.19999980926514,834,61.2999992370605,0.239999994635582,874,0,2.74195170402527,0.0606390610337257,909.666666666667,"normal","normal","train"
2019-04-23 13:15:00,8.19999980926514,834,61.5999984741211,0.239999994635582,874,0.00832508504390717,2.72480249404907,0.0598926469683647,909,"normal","normal","train"
2019-04-23 13:30:00,8.19999980926514,834,61.5999984741211,0.239999994635582,874,0.0498443804681301,2.72095727920532,0.0597972571849823,907.666666666667,"normal","normal","train"
2019-04-23 13:45:00,8.19999980926514,830.933349609375,62,0.249999985098839,874,0.0117623563855886,2.71130394935608,0.0598153173923492,909,"normal","normal","train"
2019-04-23 14:00:00,8.19999980926514,830,62.5,0.239999994635582,874,0.0262536127120256,2.71562075614929,0.0598049834370613,906.666666666667,"normal","normal","train"
2019-04-23 14:15:00,8.15999889373779,830,62.5,0.249999985098839,890,0.0262621063739061,2.75379014015198,0.0609955191612244,927,"event","tertiary_wweff","train"
2019-04-23 14:30:00,8.15999889373779,830,62.5,0.239999994635582,890,0.0185369551181793,2.77651309967041,0.061612706631422,948,"event","tertiary_wweff","train"
2019-04-23 14:45:00,8.15749931335449,830,62.7000007629395,0.249999985098839,890,0.0234929006546736,2.78203058242798,0.061694610863924,961,"event","tertiary_wweff","train"
2019-04-23 15:00:00,8.15999889373779,825,62.7000007629395,0.239999994635582,890,0.0191231686621904,2.77449703216553,0.0615198612213135,969.666666666667,"event","tertiary_wweff","train"
2019-04-23 15:15:00,8.10750007629395,830,63.0999984741211,0.239999994635582,919,0,2.76424431800842,0.0613986514508724,1015.33333333333,"event","tertiary_wweff","train"
2019-04-23 15:30:00,8.09749984741211,825,63.0999984741211,0.239999994635582,913,0.0184103511273861,2.85097670555115,0.0638437494635582,1028.33333333333,"event","tertiary_wweff","train"
2019-04-23 15:45:00,8.08999919891357,820,63.2999992370605,0.239999994635582,913,0.0191547200083733,2.85122680664062,0.0638303756713867,1021.33333333333,"event","tertiary_wweff","train"
2019-04-23 16:00:00,8.09766578674316,820,63.2999992370605,0.249999985098839,913,0.015297407284379,2.86130571365356,0.0641270503401756,1016.66666666667,"event","tertiary_wweff","train"
2019-04-23 16:15:00,8.02766609191895,820,63.5999984741211,0.249999985098839,963,0.0214337389916182,2.86087512969971,0.0642125904560089,1058.33333333333,"event","tertiary_wweff","train"
2019-04-23 16:30:00,8.00999927520752,815,63.7999992370605,0.259999990463257,961.599975585938,0.0195264350622892,3.00328803062439,0.0686274245381355,1100,"event","tertiary_wweff","train"
2019-04-23 16:45:00,8.00999927520752,805,63.7999992370605,0.259999990463257,963,0.0348266363143921,3.01095533370972,0.0686735734343529,1112,"event","tertiary_wweff","train"
2019-04-23 17:00:00,8.01999950408936,800,63.7999992370605,0.249999985098839,961.599975585938,0.0201379284262657,3.00776720046997,0.0685986205935478,1111,"event","tertiary_wweff","train"
2019-04-23 17:15:00,8.1569995880127,789.833312988281,63.2533340454102,0.259999990463257,861,0.0256355125457048,3.00539660453796,0.0685915946960449,1048,"normal","normal","train"
2019-04-23 17:30:00,8.1899995803833,791.933349609375,63.0999984741211,0.229999989271164,867.466674804688,0.0195675101131201,2.72106552124023,0.0597833767533302,947.666666666667,"normal","normal","train"
2019-04-23 17:45:00,8.1899995803833,800,62.7000007629395,0.239999994635582,867.466674804688,0.0219457503408194,2.72016048431396,0.059792410582304,913.666666666667,"normal","normal","train"
2019-04-23 18:00:00,8.19999980926514,810,62.5,0.239999994635582,867,0.0264641102403402,2.7099552154541,0.0595604479312897,912,"normal","normal","train"
2019-04-23 18:15:00,8.19999980926514,810,62.5,0.239999994635582,867,0.0229991171509027,2.70566511154175,0.0595692582428455,912.333333333333,"normal","normal","train"
2019-04-23 18:30:00,8.19999980926514,815,62.3999977111816,0.249999985098839,869,0.0153824491426349,2.71669411659241,0.0595626421272755,913.666666666667,"normal","normal","train"
2019-04-23 18:45:00,8.19233322143555,820,62.3999977111816,0.229999989271164,870.166687011719,0.025390924885869,2.7099552154541,0.0595694519579411,913.333333333333,"normal","normal","train"
2019-04-23 19:00:00,8.19999980926514,820,62,0.229999989271164,872.5,0.0260100513696671,2.70587611198425,0.0595238283276558,913.666666666667,"normal","normal","train"
2019-04-23 19:15:00,8.19999980926514,821.25,61.7999992370605,0.229999989271164,874,0.0264548491686583,2.70511794090271,0.059410247951746,914,"normal","normal","train"
2019-04-23 19:30:00,8.19999980926514,825,61.5249977111816,0.229999989271164,874,0.0332788079977036,2.7068030834198,0.0595157220959663,914.666666666667,"normal","normal","train"
2019-04-23 19:45:00,8.19999980926514,825,61.2999992370605,0.239999994635582,874,0.0260914675891399,2.70515823364258,0.0593297705054283,915,"normal","normal","train"
2019-04-23 20:00:00,8.19999980926514,825,61.2533340454102,0.239999994635582,874,0.026718694716692,2.70494437217712,0.059451837092638,915,"normal","normal","train"
2019-04-23 20:15:00,8.19999980926514,830,61.0999984741211,0.239999994635582,882,0.0282077789306641,2.71268749237061,0.0595604479312897,916.333333333333,"normal","normal","train"
2019-04-23 20:30:00,8.19999980926514,830,61.0999984741211,0.239999994635582,882,0.0298643633723259,2.7014467716217,0.0594275370240211,917.666666666667,"normal","normal","train"
2019-04-23 20:45:00,8.19999980926514,830,61.0999984741211,0.229999989271164,882,0.0333866141736507,2.69988036155701,0.0594494231045246,919.333333333333,"normal","normal","train"
